Date,Oslo Fylke,Oslo: Alna,Oslo: Bjerke,Oslo: Frogner,Oslo: Gamle Oslo,Oslo: Grorud,Oslo: Grünerløkka,Oslo: Nordre Aker,Oslo: Nordstrand,Oslo: Sagene,Oslo: St.Hanshaugen,Oslo: Stovner,Oslo: Søndre Nordstrand,Oslo: Ullern,Oslo: Vestre Aker,Oslo: Østensjø
2003-01-01,62.8541438165665,64.7049003609239,62.6519309325113,61.3076429786196,65.0151940508497,64.0067181451365,62.9384449420777,60.8442011217237,61.3088833506531,60.8387226301797,61.4089547766034,65.8172295027047,65.5204089521845,61.842192330455,62.1320230932304,62.7130676473318
2003-04-01,60.6059139463917,62.4393876845869,60.9444778588076,58.5530905795902,62.513474398967,61.7799884275854,60.4584813960251,58.23009086473,59.3677827948881,58.938911838607,58.9938634031492,63.9538121010242,63.6414801846627,59.5891575794719,59.6258658097418,60.4997353508545
2003-07-01,63.1066289122776,64.4509983319077,63.8054782848407,60.9997559955809,65.2186916082288,63.8568784179588,63.1438760263687,61.204763857571,62.0873835514397,61.3831683589971,61.5493356472227,66.090371005141,66.0682906118427,62.6332776547462,62.0398813029831,62.679077164667
2003-10-01,65.8197908842635,66.9851010496429,66.3986417061374,64.3793398147774,68.6029925193518,66.2522658378223,66.1095984904843,64.0212419274956,64.7116489943811,64.4109899068559,64.55597948204,68.4846701799904,67.0633490625995,65.373195985947,64.4545802484784,65.022789928783
2004-01-01,69.941765635754,70.1986052211678,70.263639325364,68.8224886243669,72.831580740419,69.9386687626733,70.4665752800446,68.198743932312,68.5774193251731,69.1256258783591,69.6596777135235,72.0405118211035,70.3377970203939,69.9702353528313,69.2403614592575,68.5603086486337
2004-04-01,69.1472264037687,68.6565580357663,69.4837480891161,68.5947920383443,71.9315103939791,69.2237137209922,69.9183814245991,68.1823159980092,67.4539340377724,68.5708375666944,69.3478430411679,70.7982774314694,67.9445985630064,69.4564504189499,68.6443289617242,67.9262168216516
2004-07-01,71.8166418916583,70.9805639420296,71.5498834674085,72.0955810677094,74.5428456630314,71.6846440202364,72.8526976046887,70.1829341750926,69.7987535904015,72.1104344493183,72.2537147811968,73.3996376103344,69.2719765279687,71.5987258034692,71.6390303427948,70.4482855501567
2004-10-01,72.6920115525916,71.8977559046457,72.3427436533594,72.8410820063294,75.3678234603427,72.9896129897794,74.0923332162678,70.4774201085217,70.4391861858824,73.1749295791786,73.3097031675353,74.0172664919877,69.5546315721884,71.8309432356701,72.5941238017839,71.7405510220976
2005-01-01,75.9313884166098,75.2637695263213,74.8938049770694,76.4692070101611,78.6705303029318,76.0952829608996,77.8014845920393,73.6944355544306,73.2655870172309,76.6987083939186,76.6022670957924,77.1641856862006,72.1013443477509,74.3959718469604,75.0578449134998,75.3089872842984
2005-04-01,75.4418803445664,74.9982853201404,73.3474926697241,75.8610351918132,78.0428086043708,75.3117127173668,77.3483277884563,73.6770949571109,73.2760095274005,76.6485164477487,76.0856335592569,75.9851358368891,71.8167236912626,74.0158897328974,74.3451906086204,74.6157570345248
2005-07-01,78.2447351797786,77.8773945666001,76.0720371901862,78.2660727182215,81.2903175472108,77.7219496958401,80.4771867018619,76.4520772818705,76.0498073368341,79.5223551886305,78.7735035098288,78.3689700722476,74.8425872174924,77.0594532284407,77.4859022439601,77.0177929515529
2005-10-01,79.5126289688463,79.1284638150786,77.3399243164674,79.9127960086272,82.7498436384583,78.6419822624583,82.0208150025112,78.371285917853,77.3179815889423,80.5016761068084,79.9096305821508,79.692686192006,76.2075083767843,78.0966704782071,78.2761594456829,77.8696872624743
2006-01-01,84.346552607347,83.6987650422717,82.6498007668597,84.6293155982584,88.0628852962937,83.3104402638101,87.0569605514415,83.0067622245127,82.1540263076419,85.5332209844922,84.9434454230985,84.3728835647138,81.1037174969631,82.1219169348041,82.7212086418188,82.4654889988737
2006-04-01,87.6298016637492,87.0127559240572,86.6770668872015,87.5403251021692,92.2328948275212,86.3844909161666,90.8912964942027,87.0925720182387,85.0423491111745,88.8114547146968,88.5568097311086,87.2394213612451,82.8225799054147,84.9633183036192,85.6895039130748,85.3635225679245
2006-07-01,92.6057756672753,91.6661382433137,91.2789138661254,93.1076108534146,97.5677815905577,91.6082712041456,96.7750970196129,92.1717242394779,89.55738051665,94.0560567990314,94.1464984306942,91.8936867455289,86.6612896251053,89.2914678182508,90.1939513232878,89.078017564676
2006-10-01,94.0299248578711,93.1740859462251,93.0339197554069,94.2838592916024,99.2043440552057,93.8264880281834,98.066908602049,93.007541030287,91.0847074186814,95.1114869592198,94.9042235236827,93.588546222453,89.2149475640167,90.8431502660142,90.7013214238671,90.9499399208812
2007-01-01,99.4311699984601,98.7997240983049,97.7065634162845,99.455281592135,104.526552855402,99.8457438092702,103.553441662985,98.236491674688,96.3193211880435,100.185801458913,100.470699638363,100.37186734669,94.9226269490684,95.759913767247,95.9430895521275,96.3072664377221
2007-04-01,99.3210495384935,98.7605776335865,97.9591760018044,99.0060191843877,103.911509119681,99.1762335374721,103.003422592636,98.1087188523323,96.5973569740388,99.6944070962286,99.9574435943398,101.230321471094,96.7419976648526,95.7954111856447,96.6380362304253,96.4193974026756
2007-07-01,99.232802320575,99.2285234729967,98.0123048392352,98.5338890258093,103.427601030361,99.5502247915941,101.842648852569,98.2155612695021,97.6687297105914,99.2995029476361,99.2073332117436,102.257267703025,97.2477497015545,96.2205762579166,97.0652560212144,96.5418760237908
