Date,Oslo Fylke,Oslo: Alna,Oslo: Bjerke,Oslo: Frogner,Oslo: Gamle Oslo,Oslo: Grorud,Oslo: Grünerløkka,Oslo: Nordre Aker,Oslo: Nordstrand,Oslo: Sagene,Oslo: St.Hanshaugen,Oslo: Stovner,Oslo: Søndre Nordstrand,Oslo: Ullern,Oslo: Vestre Aker,Oslo: Østensjø
2003-01-01,62.71306764733181,64.70490036092393,62.65193093251135,61.30764297861958,65.01519405084967,64.00671814513652,62.9384449420777,60.84420112172369,61.3088833506531,60.83872263017965,61.40895477660343,65.81722950270475,65.5204089521845,61.84219233045499,62.13202309323035,62.7130676473318
2003-04-01,60.49973535085452,62.43938768458691,60.94447785880761,58.553090579590204,62.51347439896704,61.779988427585366,60.4584813960251,58.23009086472995,59.36778279488807,58.93891183860704,58.99386340314917,63.95381210102419,63.6414801846627,59.589157579471866,59.62586580974181,60.4997353508545
2003-07-01,62.679077164666964,64.45099833190767,63.805478284840746,60.99975599558095,65.21869160822884,63.856878417958754,63.1438760263687,61.20476385757103,62.08738355143969,61.38316835899714,61.54933564722275,66.090371005141,66.0682906118427,62.63327765474618,62.039881302983076,62.679077164667
2003-10-01,65.02278992878304,66.98510104964289,66.39864170613738,64.37933981477735,68.60299251935177,66.25226583782235,66.1095984904843,64.02124192749562,64.71164899438105,64.41098990685592,64.55597948204003,68.48467017999039,67.0633490625995,65.37319598594699,64.4545802484784,65.022789928783
2004-01-01,68.56030864863374,70.19860522116782,70.263639325364,68.82248862436685,72.83158074041903,69.93866876267334,70.4665752800446,68.19874393231204,68.57741932517311,69.12562587835906,69.65967771352354,72.04051182110351,70.3377970203939,69.97023535283134,69.24036145925754,68.5603086486337
2004-04-01,67.92621682165156,68.6565580357663,69.4837480891161,68.59479203834425,71.93151039397907,69.22371372099215,69.9183814245991,68.18231599800917,67.4539340377724,68.57083756669444,69.34784304116795,70.79827743146944,67.9445985630064,69.45645041894993,68.64432896172418,67.9262168216516
2004-07-01,70.44828555015665,70.98056394202959,71.54988346740848,72.09558106770939,74.54284566303144,71.68464402023636,72.8526976046887,70.18293417509258,69.79875359040149,72.11043444931829,72.25371478119682,73.39963761033435,69.2719765279687,71.59872580346922,71.6390303427948,70.4482855501567
2004-10-01,71.74055102209758,71.89775590464569,72.34274365335939,72.8410820063294,75.36782346034268,72.9896129897794,74.0923332162678,70.47742010852171,70.4391861858824,73.17492957917855,73.30970316753529,74.01726649198773,69.5546315721884,71.83094323567009,72.59412380178394,71.7405510220976
2005-01-01,75.3089872842984,75.26376952632131,74.8938049770694,76.46920701016113,78.67053030293178,76.09528296089958,77.8014845920393,73.69443555443061,73.26558701723086,76.69870839391855,76.60226709579244,77.16418568620055,72.1013443477509,74.39597184696036,75.05784491349979,75.3089872842984
2005-04-01,74.6157570345248,74.99828532014044,73.34749266972408,75.86103519181322,78.04280860437083,75.31171271736682,77.3483277884563,73.67709495711092,73.27600952740048,76.64851644774866,76.08563355925688,75.9851358368891,71.8167236912626,74.01588973289739,74.34519060862044,74.6157570345248
2005-07-01,77.0177929515529,77.87739456660012,76.07203719018621,78.2660727182215,81.29031754721078,77.72194969584008,80.4771867018619,76.4520772818705,76.04980733683408,79.52235518863047,78.77350350982881,78.36897007224756,74.8425872174924,77.05945322844073,77.48590224396014,77.0177929515529
2005-10-01,77.86968726247426,79.12846381507858,77.33992431646743,79.91279600862721,82.7498436384583,78.64198226245827,82.0208150025112,78.37128591785303,77.31798158894233,80.50167610680845,79.90963058215075,79.69268619200597,76.2075083767843,78.09667047820712,78.27615944568295,77.8696872624743
2006-01-01,82.46548899887367,83.69876504227172,82.64980076685966,84.62931559825839,88.06288529629374,83.31044026381008,87.0569605514415,83.00676222451267,82.15402630764186,85.5332209844922,84.94344542309847,84.3728835647138,81.1037174969631,82.1219169348041,82.72120864181883,82.4654889988737
2006-04-01,85.36352256792453,87.01275592405716,86.67706688720148,87.54032510216919,92.23289482752118,86.38449091616657,90.8912964942027,87.09257201823866,85.04234911117446,88.81145471469681,88.55680973110861,87.2394213612451,82.8225799054147,84.96331830361919,85.68950391307482,85.3635225679245
2006-07-01,89.07801756467599,91.66613824331372,91.27891386612536,93.10761085341464,97.5677815905577,91.60827120414558,96.7750970196129,92.17172423947791,89.55738051664997,94.05605679903144,94.14649843069415,91.89368674552885,86.6612896251053,89.29146781825075,90.19395132328782,89.078017564676
2006-10-01,90.94993992088118,93.17408594622506,93.03391975540687,94.28385929160244,99.2043440552057,93.82648802818345,98.066908602049,93.00754103028702,91.08470741868143,95.1114869592198,94.90422352368266,93.58854622245303,89.2149475640167,90.8431502660142,90.70132142386714,90.9499399208812
2007-01-01,96.30726643772215,98.79972409830486,97.7065634162845,99.45528159213497,104.52655285540231,99.84574380927023,103.553441662985,98.23649167468798,96.31932118804355,100.18580145891256,100.47069963836266,100.37186734669028,94.9226269490684,95.75991376724701,95.94308955212753,96.3072664377221
2007-04-01,96.4193974026756,98.7605776335865,97.95917600180438,99.00601918438765,103.91150911968128,99.17623353747209,103.003422592636,98.10871885233234,96.59735697403876,99.69440709622862,99.95744359433981,101.23032147109407,96.7419976648526,95.7954111856447,96.6380362304253,96.4193974026756
2007-07-01,96.54187602379083,99.22852347299671,98.01230483923516,98.5338890258093,103.42760103036079,99.55022479159413,101.842648852569,98.21556126950209,97.66872971059144,99.29950294763611,99.20733321174359,102.25726770302477,97.2477497015545,96.22057625791656,97.06525602121437,96.5418760237908
2007-10-01,92.98767562794595,95.89266233488927,94.41245019171491,94.31255126851646,98.65399043756526,95.13241709849866,96.9447790671767,94.76721617092839,94.18816309389149,95.41130018434134,95.56068525024455,98.21931485580431,94.3235738500185,92.60392116604692,94.69827446945466,92.9876756279459
2008-01-01,93.88980310605281,96.68180329969111,96.03074956770168,94.9595921325128,98.39529498043693,95.32328513200746,96.9691362453693,94.83627433920157,95.36602936082423,95.79458413691147,96.04618444670838,98.82272721588512,95.693277999164,94.7610386767255,96.41995282936807,93.8898031060528
2008-04-01,93.80645743914951,96.24129233803393,95.05074806405534,94.20477243216003,96.91593925500388,95.32251705138972,95.5202932428027,93.59955510720141,94.38563900716395,94.68129635150181,94.95163123677021,98.35233147662929,95.8414196438049,94.63617929041033,96.49302008852571,93.8064574391495
2008-07-01,92.58925950918244,94.3157392081932,93.63700724256323,92.51237494773522,94.12984314434281,93.45985754664811,93.0233363166156,91.54277773248265,92.3583381614079,92.28090455012806,93.00036169874363,96.45890141829547,95.4207786183318,92.9200584532402,96.00969508088346,92.5892595091824
2008-10-01,85.68053712488178,87.53272450335754,86.67030047866075,85.83578870443462,86.99936675200993,87.32564569977265,86.2987411052243,85.01236962608805,85.93347373067623,85.42833502667779,86.107452160889,90.04619711338795,89.3427778818824,86.92569475064919,88.67140609738821,85.6805371248818
2009-01-01,89.21855754927365,91.07738835492968,90.19929579229633,89.19042031293873,90.86347979522813,92.23470495463204,89.9783743503179,89.01646565770757,89.44506264235159,89.32919224427962,90.23259869800732,93.83483429525215,93.5071240340654,90.50623400219787,91.86294172761819,89.2185575492737
